Date : 2024-09-02 22:06:48
Directory : c:\Users\k1212\Documents\FamilyApp
Total : 275 files,  25747 codes, 143 comments, 3085 blanks, all 28975 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| client\src\app\members\member-detail                                                                                           |          3 |        132 |         12 |         15 |        159 |
| client\src\app\members\member-edit                                                                                             |          3 |        111 |         19 |         11 |        141 |
| client\src\app\members\member-list                                                                                             |          3 |        126 |          0 |         19 |        145 |
| client\src\app\members\member-messages                                                                                         |          3 |         87 |          6 |          9 |        102 |
| client\src\app\members\photo-edytor                                                                                            |          3 |        162 |          0 |         26 |        188 |
| client\src\app\messages                                                                                                        |          3 |         98 |         27 |         13 |        138 |
| client\src\app\modals                                                                                                          |         12 |        300 |          0 |         54 |        354 |
| client\src\app\modals\confirm-dialog                                                                                           |          3 |         32 |          0 |          7 |         39 |
| client\src\app\modals\create-shopping-list-modal                                                                               |          3 |        123 |          0 |         23 |        146 |
| client\src\app\modals\edit-shopping-list-modal                                                                                 |          3 |        104 |          0 |         17 |        121 |
| client\src\app\modals\roles-modal                                                                                              |          3 |         41 |          0 |          7 |         48 |
| client\src\app\nav                                                                                                             |          3 |        106 |          0 |         13 |        119 |
| client\src\app\register                                                                                                        |          3 |        101 |          0 |         16 |        117 |
| client\src\app\user-families                                                                                                   |          9 |        208 |          0 |         39 |        247 |
| client\src\app\user-families\add-family                                                                                        |          3 |         53 |          0 |         11 |         64 |
| client\src\app\user-families\family-card                                                                                       |          3 |         66 |          0 |         12 |         78 |
| client\src\app\user-families\user-families-list                                                                                |          3 |         89 |          0 |         16 |        105 |
| client\src\assets                                                                                                              |          2 |        138 |          0 |          0 |        138 |
| client\src\assets\i18n                                                                                                         |          2 |        138 |          0 |          0 |        138 |
| client\src\environments                                                                                                        |          2 |         10 |          0 |          2 |         12 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\k1212\Documents\FamilyApp\API\API.csproj                                                                              | XML                |         19 |          0 |          4 |         23 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\AccountController.cs                                                        | C#                 |         58 |          0 |         18 |         76 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\AdminController.cs                                                          | C#                 |         50 |          0 |         18 |         68 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\BaseApiController.cs                                                        | C#                 |          9 |          0 |          4 |         13 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\BuggyController.cs                                                          | C#                 |         38 |          0 |         12 |         50 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\FamilyController.cs                                                         | C#                 |        160 |          3 |         70 |        233 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\InvitationsController.cs                                                    | C#                 |         99 |          0 |         38 |        137 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\ListsController.cs                                                          | C#                 |         87 |          2 |         29 |        118 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\MessagesController.cs                                                       | C#                 |         61 |          7 |         23 |         91 |
| c:\Users\k1212\Documents\FamilyApp\API\Controllers\UsersController.cs                                                          | C#                 |         99 |          3 |         40 |        142 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\CreateListDto.cs                                                                   | C#                 |          8 |          0 |          1 |          9 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\CreateMessageDto.cs                                                                | C#                 |          6 |          0 |          2 |          8 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\FamilyDto.cs                                                                       | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\FamilyListDto.cs                                                                   | C#                 |          7 |          0 |          1 |          8 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\FamilyMemberUpdateDto.cs                                                           | C#                 |          5 |          0 |          2 |          7 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\InvitationDto.cs                                                                   | C#                 |         11 |          0 |          4 |         15 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\ListItemDto.cs                                                                     | C#                 |          9 |          0 |          2 |         11 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\LoginDto.cs                                                                        | C#                 |          6 |          0 |          2 |          8 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\MemberDto.cs                                                                       | C#                 |         15 |          0 |          2 |         17 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\MessageDto.cs                                                                      | C#                 |         14 |          0 |          5 |         19 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\PhotoDto.cs                                                                        | C#                 |          7 |          0 |          2 |          9 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\RegisterDto.cs                                                                     | C#                 |         18 |          0 |          7 |         25 |
| c:\Users\k1212\Documents\FamilyApp\API\DTOs\UserDto.cs                                                                         | C#                 |          8 |          0 |          2 |         10 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\DataContext.cs                                                                     | C#                 |         71 |          0 |         23 |         94 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\FamilyMemberRepository.cs                                                          | C#                 |         42 |          0 |         10 |         52 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\FamilyRepository.cs                                                                | C#                 |         63 |          1 |         15 |         79 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\InvitationsRepository.cs                                                           | C#                 |         66 |          0 |         17 |         83 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\ListsRepository.cs                                                                 | C#                 |         72 |          5 |         15 |         92 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\MessageRepository.cs                                                               | C#                 |         67 |          0 |         14 |         81 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240803102104_InitialCreate.Designer.cs                                | C#                 |        491 |          2 |        187 |        680 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240803102104_InitialCreate.cs                                         | C#                 |        492 |          3 |         55 |        550 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240803104140_fixSurname.Designer.cs                                   | C#                 |        491 |          2 |        187 |        680 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240803104140_fixSurname.cs                                            | C#                 |         22 |          3 |          4 |         29 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240808200647_fixInvitations.Designer.cs                               | C#                 |        497 |          2 |        190 |        689 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240808200647_fixInvitations.cs                                        | C#                 |         46 |          3 |         10 |         59 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240812110050_fixLists.Designer.cs                                     | C#                 |        493 |          2 |        188 |        683 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240812110050_fixLists.cs                                              | C#                 |        134 |          3 |         30 |        167 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240812131323_ListItemsAdd.Designer.cs                                 | C#                 |        523 |          2 |        199 |        724 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240812131323_ListItemsAdd.cs                                          | C#                 |         42 |          3 |          5 |         50 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240819081738_ListNameAdd.Designer.cs                                  | C#                 |        525 |          2 |        200 |        727 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240819081738_ListNameAdd.cs                                           | C#                 |         22 |          3 |          4 |         29 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240831141632_FamiliesCreatedDateTime.Designer.cs                      | C#                 |        527 |          2 |        201 |        730 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240831141632_FamiliesCreatedDateTime.cs                               | C#                 |         24 |          3 |          4 |         31 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\DataContextModelSnapshot.cs                                             | C#                 |        525 |          1 |        201 |        727 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\Seed.cs                                                                            | C#                 |         36 |          0 |         12 |         48 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\UnitOfWork.cs                                                                      | C#                 |         27 |          0 |         11 |         38 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\UserRepository.cs                                                                  | C#                 |         80 |          0 |         17 |         97 |
| c:\Users\k1212\Documents\FamilyApp\API\Data\UserSeedData.json                                                                  | JSON               |        152 |          0 |          0 |        152 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\AppRole.cs                                                                     | C#                 |          6 |          0 |          3 |          9 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\AppUser.cs                                                                     | C#                 |         18 |          0 |          8 |         26 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\AppUserFamily.cs                                                               | C#                 |          9 |          0 |          4 |         13 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\AppUserRole.cs                                                                 | C#                 |          7 |          0 |          3 |         10 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\Category.cs                                                                    | C#                 |          7 |          0 |          3 |         10 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\Connection.cs                                                                  | C#                 |         12 |          0 |          4 |         16 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\Family.cs                                                                      | C#                 |         11 |          0 |          5 |         16 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\FamilyList.cs                                                                  | C#                 |         14 |          0 |          6 |         20 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\FamilyPhoto.cs                                                                 | C#                 |         14 |          0 |          5 |         19 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\Group.cs                                                                       | C#                 |         16 |          0 |          5 |         21 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\Invitation.cs                                                                  | C#                 |         12 |          0 |          6 |         18 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\ListItem.cs                                                                    | C#                 |         12 |          0 |          4 |         16 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\Message.cs                                                                     | C#                 |         13 |          0 |          5 |         18 |
| c:\Users\k1212\Documents\FamilyApp\API\Entities\UserPhoto.cs                                                                   | C#                 |         12 |          0 |          4 |         16 |
| c:\Users\k1212\Documents\FamilyApp\API\Errors\ApiException.cs                                                                  | C#                 |         13 |          0 |          4 |         17 |
| c:\Users\k1212\Documents\FamilyApp\API\Extensions\ApplicationServiceExtensions.cs                                              | C#                 |         27 |          0 |          5 |         32 |
| c:\Users\k1212\Documents\FamilyApp\API\Extensions\ClaimsPrincipalExtensions.cs                                                 | C#                 |         13 |          0 |          4 |         17 |
| c:\Users\k1212\Documents\FamilyApp\API\Extensions\DateTimeExtentions.cs                                                        | C#                 |         11 |          0 |          5 |         16 |
| c:\Users\k1212\Documents\FamilyApp\API\Extensions\HttpExtentions.cs                                                            | C#                 |         12 |          0 |          3 |         15 |
| c:\Users\k1212\Documents\FamilyApp\API\Extensions\IdentityServiceExtensions.cs                                                 | C#                 |         50 |          0 |          9 |         59 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\AutoMapperProfiles.cs                                                           | C#                 |         36 |          1 |          8 |         45 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\CloudinarySettings.cs                                                           | C#                 |          7 |          0 |          2 |          9 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\FamilyListsParams.cs                                                            | C#                 |          6 |          0 |          3 |          9 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\FamilyMemberParams.cs                                                           | C#                 |          6 |          0 |          2 |          8 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\FamilyParams.cs                                                                 | C#                 |          6 |          0 |          3 |          9 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\InvitationsParams.cs                                                            | C#                 |          6 |          0 |          2 |          8 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\LogUserActivity.cs                                                              | C#                 |         17 |          0 |          6 |         23 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\MessageParams.cs                                                                | C#                 |          6 |          0 |          2 |          8 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\PagedList.cs                                                                    | C#                 |         23 |          0 |          5 |         28 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\PaginationHeader.cs                                                             | C#                 |         15 |          0 |          3 |         18 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\PaginationParams.cs                                                             | C#                 |         12 |          0 |          2 |         14 |
| c:\Users\k1212\Documents\FamilyApp\API\Helpers\UserParams.cs                                                                   | C#                 |          9 |          0 |          2 |         11 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IFamilyMemberRepository.cs                                                    | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IFamilyRepository.cs                                                          | C#                 |         14 |          0 |          2 |         16 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IInvitationsRepository.cs                                                     | C#                 |         12 |          0 |          3 |         15 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IListsRepository.cs                                                           | C#                 |         17 |          0 |          2 |         19 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IMessageRepository.cs                                                         | C#                 |         16 |          0 |          3 |         19 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IPhotoService.cs                                                              | C#                 |          7 |          0 |          3 |         10 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\ITokenService.cs                                                              | C#                 |          6 |          0 |          3 |          9 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IUnitOfWork.cs                                                                | C#                 |         12 |          0 |          3 |         15 |
| c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IUserRepository.cs                                                            | C#                 |         16 |          0 |          3 |         19 |
| c:\Users\k1212\Documents\FamilyApp\API\Middleware\ExceptionMiddleware.cs                                                       | C#                 |         35 |          0 |         10 |         45 |
| c:\Users\k1212\Documents\FamilyApp\API\Program.cs                                                                              | C#                 |         42 |          2 |         14 |         58 |
| c:\Users\k1212\Documents\FamilyApp\API\Properties\launchSettings.json                                                          | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\k1212\Documents\FamilyApp\API\Services\PhotoService.cs                                                                | C#                 |         41 |          0 |          8 |         49 |
| c:\Users\k1212\Documents\FamilyApp\API\Services\TokenService.cs                                                                | C#                 |         38 |          0 |         12 |         50 |
| c:\Users\k1212\Documents\FamilyApp\API\SignalR\ListsHub.cs                                                                     | C#                 |         87 |          0 |         33 |        120 |
| c:\Users\k1212\Documents\FamilyApp\API\SignalR\MessageHub.cs                                                                   | C#                 |         91 |          0 |         31 |        122 |
| c:\Users\k1212\Documents\FamilyApp\API\SignalR\PresenceHub.cs                                                                  | C#                 |         28 |          0 |          9 |         37 |
| c:\Users\k1212\Documents\FamilyApp\API\SignalR\PresenceTracker.cs                                                              | C#                 |         55 |          1 |         13 |         69 |
| c:\Users\k1212\Documents\FamilyApp\API\appsettings.Development.json                                                            | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\k1212\Documents\FamilyApp\API\familyapp.db                                                                            | Database           |        770 |          0 |         13 |        783 |
| c:\Users\k1212\Documents\FamilyApp\client\README.md                                                                            | Markdown           |         14 |          0 |         14 |         28 |
| c:\Users\k1212\Documents\FamilyApp\client\angular.json                                                                         | JSON               |        115 |          0 |          0 |        115 |
| c:\Users\k1212\Documents\FamilyApp\client\package-lock.json                                                                    | JSON               |     12,944 |          0 |          1 |     12,945 |
| c:\Users\k1212\Documents\FamilyApp\client\package.json                                                                         | JSON               |         56 |          0 |          1 |         57 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_directives\has-role.directive.ts                                            | TypeScript         |         25 |          0 |          5 |         30 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\date-picker\date-picker.component.css                                 | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\date-picker\date-picker.component.html                                | HTML               |         14 |          0 |          0 |         14 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\date-picker\date-picker.component.ts                                  | TypeScript         |         29 |          0 |          6 |         35 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\text-input\text-input.component.css                                   | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\text-input\text-input.component.html                                  | HTML               |         20 |          0 |          0 |         20 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\text-input\text-input.component.ts                                    | TypeScript         |         23 |          0 |          5 |         28 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_guards\admin.guard.ts                                                       | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_guards\auth.guard.ts                                                        | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_guards\prevent-unsaved-changes.guard.ts                                     | TypeScript         |         11 |          0 |          4 |         15 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_interceptors\error.interceptor.ts                                           | TypeScript         |         53 |          0 |          4 |         57 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_interceptors\jwt.interceptor.ts                                             | TypeScript         |         27 |          0 |          4 |         31 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_interceptors\loading.interceptor.ts                                         | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\family-list.ts                                                       | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\family-member.ts                                                     | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\family.ts                                                            | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\familyParams.ts                                                      | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\group.ts                                                             | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\invitation.ts                                                        | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\list-item.ts                                                         | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\member.ts                                                            | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\message.ts                                                           | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\pagination.ts                                                        | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\photo.ts                                                             | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\shared.module.ts                                                     | TypeScript         |         45 |          0 |          2 |         47 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\user.ts                                                              | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\userParams.ts                                                        | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_resolvers\family-detailed.resolver.ts                                       | TypeScript         |          8 |          1 |          3 |         12 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_resolvers\family-member-detailed.resolver.ts                                | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_resolvers\member-detailed.resolver.ts                                       | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\account.service.ts                                                 | TypeScript         |        112 |          3 |         17 |        132 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\admin.service.ts                                                   | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\busy.service.ts                                                    | TypeScript         |         24 |          0 |          5 |         29 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\confirm.service.ts                                                 | TypeScript         |         32 |          0 |          4 |         36 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\customRouteReuseStrategy.ts                                        | TypeScript         |         17 |          0 |          1 |         18 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\family.service.ts                                                  | TypeScript         |         32 |          0 |          9 |         41 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\invitation.service.ts                                              | TypeScript         |         32 |          0 |          8 |         40 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\list.service.ts                                                    | TypeScript         |         38 |          0 |          7 |         45 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\members.service.ts                                                 | TypeScript         |         86 |          0 |         21 |        107 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\message.service.ts                                                 | TypeScript         |         62 |          0 |         13 |         75 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\paginationHelper.ts                                                | TypeScript         |         24 |          0 |          5 |         29 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\presence.service.ts                                                | TypeScript         |         50 |          0 |         10 |         60 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\user-families.service.ts                                           | TypeScript         |         61 |          0 |         13 |         74 |
| c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\admin-panel\admin-panel.component.css                                  | CSS                |          0 |          0 |          1 |          1 |
